hsa,gene_name,gene_concept
hsa00983,DPYS,gene_1807
hsa00983,CYP2A6,gene_1548
hsa00983,UPP1,gene_7378
hsa00983,UCK2,gene_7371
hsa00983,TK2,gene_7084
hsa00983,TK1,gene_7083
hsa00983,UMPS,gene_7372
hsa00983,CMPK1,gene_51727
hsa00983,RRM1,gene_6240
hsa00983,RRM2,gene_6241
hsa00983,NME1,gene_4830
hsa00983,MPO,gene_4353
hsa00983,CYP2E1,gene_1571
hsa00983,GSTM1,gene_2944
hsa00983,GSTP1,gene_2950
hsa02010,ABCA1,gene_19
hsa02010,ABCB1,gene_5243
hsa02010,ABCB4,gene_5244
hsa02010,ABCB6,gene_10058
hsa02010,ABCB7,gene_22
hsa02010,ABCC1,gene_4363
hsa02010,ABCC6,gene_368
hsa02010,CFTR,gene_1080
hsa02010,ABCC8,gene_6833
hsa02010,ABCG2,gene_9429
hsa03013,AAAS,gene_8086
hsa03013,NUP37,gene_79023
hsa03013,NUP62,gene_23636
hsa03013,TPR,gene_7175
hsa03013,IPO5,gene_3843
hsa03013,RAN,gene_5901
hsa03013,EEF1A1,gene_1915
hsa03013,EEF1A2,gene_1917
hsa03013,RBM8A,gene_9939
hsa03013,ACIN1,gene_22985
hsa03013,NXF1,gene_10482
hsa03050,PSMD1,gene_5707
hsa03050,ADRM1,gene_11047
hsa03050,IFNG,gene_3458
hsa03250,CD4,gene_920
hsa03250,MAP1B,gene_4131
hsa03250,PSIP1,gene_11168
hsa03250,MX1,gene_4599
hsa03250,MX2,gene_4600
hsa03250,CREBBP,gene_1387
hsa03250,EP300,gene_2033
hsa03250,KAT2B,gene_8850
hsa03250,CDK9,gene_1025
hsa03250,MLLT1,gene_4298
hsa03250,NELFCD,gene_51497
hsa03250,NELFE,gene_7936
hsa03250,RAN,gene_5901
hsa03250,FURIN,gene_5045
hsa03320,CD36,gene_948
hsa03320,SLC27A5,gene_10998
hsa03320,FABP1,gene_2168
hsa03320,FABP3,gene_2170
hsa03320,FABP4,gene_2167
hsa03320,APOA1,gene_335
hsa03320,APOA2,gene_336
hsa03320,APOC3,gene_345
hsa03320,ME1,gene_4199
hsa03320,FADS2,gene_9415
hsa03320,SCD,gene_6319
hsa03320,SCD5,gene_79966
hsa03320,CYP7A1,gene_1581
hsa03320,CYP27A1,gene_1593
hsa03320,DBI,gene_1622
hsa03320,LPL,gene_4023
hsa03320,ACSBG1,gene_23205
hsa03320,ACAA1,gene_30
hsa03320,SCP2,gene_6342
hsa03320,CPT1B,gene_1375
hsa03320,CPT2,gene_1376
hsa03320,ACADM,gene_34
hsa03320,MMP1,gene_4312
hsa03320,UCP1,gene_7350
hsa03320,PCK1,gene_5105
hsa03320,PCK2,gene_5106
hsa03320,GK,gene_2710
hsa03410,UNG,gene_7374
hsa03410,MPG,gene_4350
hsa03410,APEX1,gene_328
hsa03410,POLB,gene_5423
hsa03410,POLL,gene_27343
hsa03410,PCNA,gene_5111
hsa03410,POLD1,gene_5424
hsa03410,POLD3,gene_10714
hsa03410,POLE4,gene_56655
hsa03410,PARP1,gene_142
hsa03410,FEN1,gene_2237
hsa04010,CACNA1A,gene_773
hsa04010,CACNA1E,gene_777
hsa04010,CACNA1F,gene_778
hsa04010,CACNA1S,gene_779
hsa04010,PRKCA,gene_5578
hsa04010,PRKCG,gene_5582
hsa04010,PPP3R1,gene_5534
hsa04010,RASGRF1,gene_5923
hsa04010,NF1,gene_4763
hsa04010,RAP1A,gene_5906
hsa04010,EGF,gene_1950
hsa04010,TGFA,gene_7039
hsa04010,EREG,gene_2069
hsa04010,AREG,gene_374
hsa04010,FGF1,gene_2246
hsa04010,FGF2,gene_2247
hsa04010,FGF3,gene_2248
hsa04010,FGF4,gene_2249
hsa04010,FGF7,gene_2252
hsa04010,FGF5,gene_2250
hsa04010,NGF,gene_4803
hsa04010,BDNF,gene_627
hsa04010,NTF3,gene_4908
hsa04010,NTF4,gene_4909
hsa04010,INS,gene_3630
hsa04010,IGF1,gene_3479
hsa04010,IGF2,gene_3481
hsa04010,PDGFA,gene_5154
hsa04010,PDGFB,gene_5155
hsa04010,CSF1,gene_1435
hsa04010,KITLG,gene_4254
hsa04010,FLT3LG,gene_2323
hsa04010,VEGFA,gene_7422
hsa04010,PGF,gene_5228
hsa04010,HGF,gene_3082
hsa04010,EFNA5,gene_1946
hsa04010,EGFR,gene_1956
hsa04010,ERBB2,gene_2064
hsa04010,FGFR1,gene_2260
hsa04010,NGFR,gene_4804
hsa04010,NTRK1,gene_4914
hsa04010,INSR,gene_3643
hsa04010,IGF1R,gene_3480
hsa04010,PDGFRB,gene_5159
hsa04010,CSF1R,gene_1436
hsa04010,KIT,gene_3815
hsa04010,MET,gene_4233
hsa04010,TEK,gene_7010
hsa04010,HRAS,gene_3265
hsa04010,KRAS,gene_3845
hsa04010,NRAS,gene_4893
hsa04010,RRAS,gene_6237
hsa04010,RAF1,gene_5894
hsa04010,MAPK1,gene_5594
hsa04010,MYC,gene_4609
hsa04010,SRF,gene_6722
hsa04010,FOS,gene_2353
hsa04010,MAPT,gene_4137
hsa04010,STMN1,gene_3925
hsa04010,PLA2G4A,gene_5321
hsa04010,TNF,gene_7124
hsa04010,IL1A,gene_3552
hsa04010,IL1B,gene_3553
hsa04010,TGFB1,gene_7040
hsa04010,TGFB2,gene_7042
hsa04010,TGFB3,gene_7043
hsa04010,TNFRSF1A,gene_7132
hsa04010,IL1R1,gene_3554
hsa04010,FAS,gene_355
hsa04010,CD14,gene_929
hsa04010,RAC1,gene_5879
hsa04010,MAP3K11,gene_4296
hsa04010,MAP3K20,gene_51776
hsa04010,TAOK2,gene_9344
hsa04010,FLNC,gene_2318
hsa04010,CRK,gene_1398
hsa04010,MAPK14,gene_1432
hsa04010,MAPKAPK2,gene_9261
hsa04010,JUN,gene_3725
hsa04010,JUND,gene_3727
hsa04010,ATF2,gene_1386
hsa04010,TP53,gene_7157
hsa04010,DDIT3,gene_1649
hsa04010,HSPB1,gene_3315
hsa04010,AKT1,gene_207
hsa04010,DUSP2,gene_1844
hsa04010,PPP5C,gene_5536
hsa04010,HSPA8,gene_3312
hsa04010,HSPA1A,gene_3303
hsa04010,NR4A1,gene_3164
hsa04010,IKBKG,gene_8517
hsa04010,NFKB1,gene_4790
hsa04010,NFKB2,gene_4791
hsa04010,RELA,gene_5970
hsa04012,EGF,gene_1950
hsa04012,TGFA,gene_7039
hsa04012,AREG,gene_374
hsa04012,EGFR,gene_1956
hsa04012,ERBB2,gene_2064
hsa04012,PLCG1,gene_5335
hsa04012,CAMK2G,gene_818
hsa04012,PRKCA,gene_5578
hsa04012,PRKCG,gene_5582
hsa04012,CBL,gene_867
hsa04012,STAT5A,gene_6776
hsa04012,SRC,gene_6714
hsa04012,PTK2,gene_5747
hsa04012,CRK,gene_1398
hsa04012,ABL1,gene_25
hsa04012,ABL2,gene_27
hsa04012,PAK3,gene_5063
hsa04012,JUN,gene_3725
hsa04012,EREG,gene_2069
hsa04012,NRG1,gene_3084
hsa04012,SHC2,gene_25759
hsa04012,HRAS,gene_3265
hsa04012,KRAS,gene_3845
hsa04012,NRAS,gene_4893
hsa04012,RAF1,gene_5894
hsa04012,MAPK1,gene_5594
hsa04012,MYC,gene_4609
hsa04012,PIK3R2,gene_5296
hsa04012,AKT1,gene_207
hsa04014,EGF,gene_1950
hsa04014,TGFA,gene_7039
hsa04014,FGF1,gene_2246
hsa04014,FGF2,gene_2247
hsa04014,FGF3,gene_2248
hsa04014,FGF4,gene_2249
hsa04014,FGF7,gene_2252
hsa04014,FGF5,gene_2250
hsa04014,NGF,gene_4803
hsa04014,BDNF,gene_627
hsa04014,NTF3,gene_4908
hsa04014,NTF4,gene_4909
hsa04014,INS,gene_3630
hsa04014,IGF1,gene_3479
hsa04014,IGF2,gene_3481
hsa04014,PDGFA,gene_5154
hsa04014,PDGFB,gene_5155
hsa04014,CSF1,gene_1435
hsa04014,KITLG,gene_4254
hsa04014,FLT3LG,gene_2323
hsa04014,VEGFA,gene_7422
hsa04014,PGF,gene_5228
hsa04014,HGF,gene_3082
hsa04014,EFNA5,gene_1946
