hsa,gene_name,gene_concept
hsa00350,MIF,gene_4282
hsa00360,PAH,gene_5053
hsa00360,DDC,gene_1644
hsa00360,AOC3,gene_8639
hsa00360,AOC2,gene_314
hsa00360,MAOB,gene_4129
hsa00360,MAOA,gene_4128
hsa00360,ALDH3B1,gene_221
hsa00360,ALDH3B2,gene_222
hsa00360,ALDH3A1,gene_218
hsa00360,GOT1,gene_2805
hsa00360,GOT2,gene_2806
hsa00360,TAT,gene_6898
hsa00360,IL4I1,gene_259307
hsa00360,HPD,gene_3242
hsa00360,MIF,gene_4282
hsa00380,TDO2,gene_6999
hsa00380,IDO1,gene_3620
hsa00380,IDO2,gene_169355
hsa00380,AFMID,gene_125061
hsa00380,KMO,gene_8564
hsa00380,KYNU,gene_8942
hsa00380,HAAO,gene_23498
hsa00380,ACMSD,gene_130013
hsa00380,ALDH8A1,gene_64577
hsa00380,DHTKD1,gene_55526
hsa00380,DLST,gene_1743
hsa00380,DLD,gene_1738
hsa00380,GCDH,gene_2639
hsa00380,HADHA,gene_3030
hsa00380,EHHADH,gene_1962
hsa00380,ECHS1,gene_1892
hsa00380,HADH,gene_3033
hsa00380,ACAT2,gene_39
hsa00380,ACAT1,gene_38
hsa00380,KYAT3,gene_56267
hsa00380,KYAT1,gene_883
hsa00380,AADAT,gene_51166
hsa00380,TPH2,gene_121278
hsa00380,TPH1,gene_7166
hsa00380,DDC,gene_1644
hsa00380,MAOB,gene_4129
hsa00380,MAOA,gene_4128
hsa00380,ALDH2,gene_217
hsa00380,ALDH3A2,gene_224
hsa00380,ALDH1B1,gene_219
hsa00380,ALDH7A1,gene_501
hsa00380,ALDH9A1,gene_223
hsa00380,AOX1,gene_316
hsa00380,ASMT,gene_438
hsa00380,AANAT,gene_15
hsa00380,CYP1A1,gene_1543
hsa00380,CYP1A2,gene_1544
hsa00380,CYP1B1,gene_1545
hsa00380,INMT,gene_11185
hsa00380,IL4I1,gene_259307
hsa00380,AOC1,gene_26
hsa00380,CAT,gene_847
hsa00430,CDO1,gene_1036
hsa00430,GAD1,gene_2571
hsa00430,GAD2,gene_2572
hsa00430,GADL1,gene_339896
hsa00430,CSAD,gene_51380
hsa00430,ADO,gene_84890
hsa00430,FMO1,gene_2326
hsa00430,FMO2,gene_2327
hsa00430,FMO5,gene_2330
hsa00430,FMO3,gene_2328
hsa00430,FMO4,gene_2329
hsa00430,GGT7,gene_2686
hsa00430,GGT1,gene_2678
hsa00430,GGT5,gene_2687
hsa00430,BAAT,gene_570
hsa00480,GGT7,gene_2686
hsa00480,GGT1,gene_2678
hsa00480,GGT5,gene_2687
hsa00480,GGCT,gene_79017
hsa00480,CHAC1,gene_79094
hsa00480,CHAC2,gene_494143
hsa00480,OPLAH,gene_26873
hsa00480,GCLC,gene_2729
hsa00480,GCLM,gene_2730
hsa00480,GSS,gene_2937
hsa00480,LAP3,gene_51056
hsa00480,ANPEP,gene_290
hsa00480,GSTA5,gene_221357
hsa00480,GSTA2,gene_2939
hsa00480,GSTA4,gene_2941
hsa00480,GSTO2,gene_119391
hsa00480,GSTM4,gene_2948
hsa00480,GSTT2,gene_2953
hsa00480,GSTT1,gene_2952
